species,setting,day,breeding,breeding2,breeding3
Rana berlandieri,Allopatric,53,<2,1.5,Low
Rana berlandieri,Allopatric,54,<2,1.5,Low
Rana berlandieri,Allopatric,55,3-5,4,Medium
Rana berlandieri,Allopatric,56,3-5,4,Medium
Rana berlandieri,Allopatric,57,3-5,4,Medium
Rana berlandieri,Allopatric,58,3-5,4,Medium
Rana berlandieri,Allopatric,59,3-5,4,Medium
Rana berlandieri,Allopatric,60,3-5,4,Medium
Rana berlandieri,Allopatric,61,3-5,4,Medium
Rana berlandieri,Allopatric,62,3-5,4,Medium
Rana berlandieri,Allopatric,63,3-5,4,Medium
Rana berlandieri,Allopatric,64,3-5,4,Medium
Rana berlandieri,Allopatric,65,3-5,4,Medium
Rana berlandieri,Allopatric,66,3-5,4,Medium
Rana berlandieri,Allopatric,67,3-5,4,Medium
Rana berlandieri,Allopatric,68,3-5,4,Medium
Rana berlandieri,Allopatric,69,3-5,4,Medium
Rana berlandieri,Allopatric,70,6-10,8,High
Rana berlandieri,Allopatric,71,6-10,8,High
Rana berlandieri,Allopatric,72,6-10,8,High
Rana berlandieri,Allopatric,73,6-10,8,High
Rana berlandieri,Allopatric,74,6-10,8,High
Rana berlandieri,Allopatric,75,6-10,8,High
Rana berlandieri,Allopatric,76,6-10,8,High
Rana berlandieri,Allopatric,77,6-10,8,High
Rana berlandieri,Allopatric,78,6-10,8,High
Rana berlandieri,Allopatric,79,>10,20,Very high
Rana berlandieri,Allopatric,80,>10,20,Very high
Rana berlandieri,Allopatric,81,>10,20,Very high
Rana berlandieri,Allopatric,82,>10,20,Very high
Rana berlandieri,Allopatric,83,>10,20,Very high
Rana berlandieri,Allopatric,84,>10,20,Very high
Rana berlandieri,Allopatric,85,>10,20,Very high
Rana berlandieri,Allopatric,86,>10,20,Very high
Rana berlandieri,Allopatric,87,>10,20,Very high
Rana berlandieri,Allopatric,88,>10,20,Very high
Rana berlandieri,Allopatric,89,>10,20,Very high
Rana berlandieri,Allopatric,90,>10,20,Very high
Rana berlandieri,Allopatric,91,>10,20,Very high
Rana berlandieri,Allopatric,92,>10,20,Very high
Rana berlandieri,Allopatric,93,>10,20,Very high
Rana berlandieri,Allopatric,94,>10,20,Very high
Rana berlandieri,Allopatric,95,>10,20,Very high
Rana berlandieri,Allopatric,96,>10,20,Very high
Rana berlandieri,Allopatric,97,>10,20,Very high
Rana berlandieri,Allopatric,98,>10,20,Very high
Rana berlandieri,Allopatric,99,>10,20,Very high
Rana berlandieri,Allopatric,100,>10,20,Very high
Rana berlandieri,Allopatric,101,>10,20,Very high
Rana berlandieri,Allopatric,102,>10,20,Very high
Rana berlandieri,Allopatric,103,>10,20,Very high
Rana berlandieri,Allopatric,104,>10,20,Very high
Rana berlandieri,Allopatric,105,>10,20,Very high
Rana berlandieri,Allopatric,106,6-10,8,High
Rana berlandieri,Allopatric,107,6-10,8,High
Rana berlandieri,Allopatric,108,6-10,8,High
Rana berlandieri,Allopatric,109,6-10,8,High
Rana berlandieri,Allopatric,110,6-10,8,High
Rana berlandieri,Allopatric,111,6-10,8,High
Rana berlandieri,Allopatric,112,6-10,8,High
Rana berlandieri,Allopatric,113,6-10,8,High
Rana berlandieri,Allopatric,114,6-10,8,High
Rana berlandieri,Allopatric,115,6-10,8,High
Rana berlandieri,Allopatric,116,6-10,8,High
Rana berlandieri,Allopatric,117,6-10,8,High
Rana berlandieri,Allopatric,118,6-10,8,High
Rana berlandieri,Allopatric,119,6-10,8,High
Rana berlandieri,Allopatric,120,6-10,8,High
Rana berlandieri,Allopatric,121,6-10,8,High
Rana berlandieri,Allopatric,122,6-10,8,High
Rana berlandieri,Allopatric,123,6-10,8,High
Rana berlandieri,Allopatric,124,6-10,8,High
Rana berlandieri,Allopatric,125,6-10,8,High
Rana berlandieri,Allopatric,126,6-10,8,High
Rana berlandieri,Allopatric,127,6-10,8,High
Rana berlandieri,Allopatric,128,6-10,8,High
Rana berlandieri,Allopatric,129,6-10,8,High
Rana berlandieri,Allopatric,130,6-10,8,High
Rana berlandieri,Allopatric,131,6-10,8,High
Rana berlandieri,Allopatric,132,6-10,8,High
Rana berlandieri,Allopatric,133,6-10,8,High
Rana berlandieri,Allopatric,134,6-10,8,High
Rana berlandieri,Allopatric,135,6-10,8,High
Rana berlandieri,Allopatric,136,6-10,8,High
Rana berlandieri,Allopatric,137,6-10,8,High
Rana berlandieri,Allopatric,138,6-10,8,High
Rana berlandieri,Allopatric,139,6-10,8,High
Rana berlandieri,Allopatric,140,6-10,8,High
Rana berlandieri,Allopatric,141,6-10,8,High
Rana berlandieri,Allopatric,142,6-10,8,High
Rana berlandieri,Allopatric,143,3-5,4,Medium
Rana berlandieri,Allopatric,144,3-5,4,Medium
Rana berlandieri,Allopatric,145,3-5,4,Medium
Rana berlandieri,Allopatric,146,3-5,4,Medium
Rana berlandieri,Allopatric,147,3-5,4,Medium
Rana berlandieri,Allopatric,148,3-5,4,Medium
Rana berlandieri,Allopatric,149,3-5,4,Medium
Rana berlandieri,Allopatric,150,3-5,4,Medium
Rana berlandieri,Allopatric,151,3-5,4,Medium
Rana berlandieri,Allopatric,152,3-5,4,Medium
Rana berlandieri,Allopatric,153,3-5,4,Medium
Rana berlandieri,Allopatric,154,3-5,4,Medium
Rana berlandieri,Allopatric,155,<2,1.5,Low
Rana berlandieri,Allopatric,156,<2,1.5,Low
Rana berlandieri,Allopatric,157,<2,1.5,Low
Rana berlandieri,Allopatric,158,<2,1.5,Low
Rana berlandieri,Allopatric,159,<2,1.5,Low
Rana berlandieri,Allopatric,160,<2,1.5,Low
Rana berlandieri,Allopatric,161,<2,1.5,Low
Rana berlandieri,Allopatric,162,<2,1.5,Low
Rana berlandieri,Allopatric,163,<2,1.5,Low
Rana berlandieri,Allopatric,164,<2,1.5,Low
Rana berlandieri,Allopatric,165,<2,1.5,Low
Rana berlandieri,Allopatric,166,<2,1.5,Low
Rana berlandieri,Allopatric,167,<2,1.5,Low
Rana berlandieri,Allopatric,168,<2,1.5,Low
Rana berlandieri,Allopatric,169,<2,1.5,Low
Rana berlandieri,Allopatric,170,<2,1.5,Low
Rana berlandieri,Allopatric,171,<2,1.5,Low
Rana berlandieri,Allopatric,172,<2,1.5,Low
Rana berlandieri,Allopatric,173,<2,1.5,Low
Rana berlandieri,Allopatric,174,<2,1.5,Low
Rana berlandieri,Allopatric,175,<2,1.5,Low
Rana berlandieri,Allopatric,176,<2,1.5,Low
Rana berlandieri,Allopatric,177,<2,1.5,Low
Rana berlandieri,Allopatric,178,<2,1.5,Low
Rana berlandieri,Allopatric,179,<2,1.5,Low
Rana berlandieri,Allopatric,180,<2,1.5,Low
Rana berlandieri,Allopatric,181,<2,1.5,Low
Rana berlandieri,Allopatric,182,<2,1.5,Low
Rana berlandieri,Allopatric,183,<2,1.5,Low
Rana berlandieri,Allopatric,184,<2,1.5,Low
Rana berlandieri,Allopatric,185,<2,1.5,Low
Rana berlandieri,Allopatric,186,<2,1.5,Low
Rana berlandieri,Allopatric,187,<2,1.5,Low
Rana berlandieri,Allopatric,188,<2,1.5,Low
Rana berlandieri,Allopatric,189,<2,1.5,Low
Rana berlandieri,Allopatric,190,<2,1.5,Low
Rana berlandieri,Allopatric,191,<2,1.5,Low
Rana berlandieri,Allopatric,192,<2,1.5,Low
Rana berlandieri,Allopatric,193,<2,1.5,Low
Rana berlandieri,Allopatric,194,<2,1.5,Low
Rana berlandieri,Allopatric,195,<2,1.5,Low
Rana berlandieri,Allopatric,196,<2,1.5,Low
Rana berlandieri,Allopatric,197,<2,1.5,Low
Rana berlandieri,Allopatric,198,<2,1.5,Low
Rana berlandieri,Allopatric,199,<2,1.5,Low
Rana berlandieri,Allopatric,200,<2,1.5,Low
Rana berlandieri,Allopatric,201,<2,1.5,Low
Rana berlandieri,Allopatric,202,<2,1.5,Low
Rana berlandieri,Allopatric,203,<2,1.5,Low
Rana berlandieri,Allopatric,204,<2,1.5,Low
Rana berlandieri,Allopatric,205,<2,1.5,Low
Rana berlandieri,Allopatric,206,<2,1.5,Low
Rana berlandieri,Allopatric,207,<2,1.5,Low
Rana berlandieri,Allopatric,208,<2,1.5,Low
Rana berlandieri,Allopatric,209,<2,1.5,Low
Rana berlandieri,Allopatric,210,<2,1.5,Low
Rana berlandieri,Allopatric,211,<2,1.5,Low
Rana berlandieri,Allopatric,212,<2,1.5,Low
Rana berlandieri,Allopatric,213,<2,1.5,Low
Rana berlandieri,Allopatric,214,<2,1.5,Low
Rana berlandieri,Allopatric,215,<2,1.5,Low
Rana berlandieri,Allopatric,216,3-5,4,Medium
Rana berlandieri,Allopatric,217,3-5,4,Medium
Rana berlandieri,Allopatric,218,3-5,4,Medium
Rana berlandieri,Allopatric,219,3-5,4,Medium
Rana berlandieri,Allopatric,220,3-5,4,Medium
Rana berlandieri,Allopatric,221,3-5,4,Medium
Rana berlandieri,Allopatric,222,3-5,4,Medium
Rana berlandieri,Allopatric,223,3-5,4,Medium
Rana berlandieri,Allopatric,224,3-5,4,Medium
Rana berlandieri,Allopatric,225,3-5,4,Medium
Rana berlandieri,Allopatric,226,3-5,4,Medium
Rana berlandieri,Allopatric,227,3-5,4,Medium
Rana berlandieri,Allopatric,228,3-5,4,Medium
Rana berlandieri,Allopatric,229,3-5,4,Medium
Rana berlandieri,Allopatric,230,3-5,4,Medium
Rana berlandieri,Allopatric,231,3-5,4,Medium
Rana berlandieri,Allopatric,232,3-5,4,Medium
Rana berlandieri,Allopatric,233,3-5,4,Medium
Rana berlandieri,Allopatric,234,3-5,4,Medium
Rana berlandieri,Allopatric,235,3-5,4,Medium
Rana berlandieri,Allopatric,236,3-5,4,Medium
Rana berlandieri,Allopatric,237,3-5,4,Medium
Rana berlandieri,Allopatric,238,3-5,4,Medium
Rana berlandieri,Allopatric,239,3-5,4,Medium
Rana berlandieri,Allopatric,240,3-5,4,Medium
Rana berlandieri,Allopatric,241,3-5,4,Medium
Rana berlandieri,Allopatric,242,3-5,4,Medium
Rana berlandieri,Allopatric,243,3-5,4,Medium
Rana berlandieri,Allopatric,244,3-5,4,Medium
Rana berlandieri,Allopatric,245,6-10,8,High
Rana berlandieri,Allopatric,246,6-10,8,High
Rana berlandieri,Allopatric,247,6-10,8,High
Rana berlandieri,Allopatric,248,6-10,8,High
Rana berlandieri,Allopatric,249,6-10,8,High
Rana berlandieri,Allopatric,250,6-10,8,High
Rana berlandieri,Allopatric,251,6-10,8,High
Rana berlandieri,Allopatric,252,6-10,8,High
Rana berlandieri,Allopatric,253,>10,20,Very high
Rana berlandieri,Allopatric,254,>10,20,Very high
Rana berlandieri,Allopatric,255,>10,20,Very high
Rana berlandieri,Allopatric,256,>10,20,Very high
Rana berlandieri,Allopatric,257,>10,20,Very high
Rana berlandieri,Allopatric,258,>10,20,Very high
Rana berlandieri,Allopatric,259,>10,20,Very high
Rana berlandieri,Allopatric,260,>10,20,Very high
Rana berlandieri,Allopatric,261,>10,20,Very high
Rana berlandieri,Allopatric,262,>10,20,Very high
Rana berlandieri,Allopatric,263,>10,20,Very high
Rana berlandieri,Allopatric,264,>10,20,Very high
Rana berlandieri,Allopatric,265,>10,20,Very high
Rana berlandieri,Allopatric,266,>10,20,Very high
Rana berlandieri,Allopatric,267,>10,20,Very high
Rana berlandieri,Allopatric,268,>10,20,Very high
Rana berlandieri,Allopatric,269,>10,20,Very high
Rana berlandieri,Allopatric,270,>10,20,Very high
Rana berlandieri,Allopatric,271,>10,20,Very high
Rana berlandieri,Allopatric,272,>10,20,Very high
Rana berlandieri,Allopatric,273,>10,20,Very high
Rana berlandieri,Allopatric,274,>10,20,Very high
Rana berlandieri,Allopatric,275,>10,20,Very high
Rana berlandieri,Allopatric,276,>10,20,Very high
Rana berlandieri,Allopatric,277,>10,20,Very high
Rana berlandieri,Allopatric,278,>10,20,Very high
Rana berlandieri,Allopatric,279,>10,20,Very high
Rana berlandieri,Allopatric,280,>10,20,Very high
Rana berlandieri,Allopatric,281,>10,20,Very high
Rana berlandieri,Allopatric,282,>10,20,Very high
Rana berlandieri,Allopatric,283,>10,20,Very high
Rana berlandieri,Allopatric,284,>10,20,Very high
Rana berlandieri,Allopatric,285,>10,20,Very high
Rana berlandieri,Allopatric,286,>10,20,Very high
Rana berlandieri,Allopatric,287,>10,20,Very high
Rana berlandieri,Allopatric,288,>10,20,Very high
Rana berlandieri,Allopatric,289,>10,20,Very high
Rana berlandieri,Allopatric,290,>10,20,Very high
Rana berlandieri,Allopatric,291,>10,20,Very high
Rana berlandieri,Allopatric,292,>10,20,Very high
Rana berlandieri,Allopatric,293,>10,20,Very high
Rana berlandieri,Allopatric,294,>10,20,Very high
Rana berlandieri,Allopatric,295,>10,20,Very high
Rana berlandieri,Allopatric,296,>10,20,Very high
Rana berlandieri,Allopatric,297,>10,20,Very high
Rana berlandieri,Allopatric,298,>10,20,Very high
Rana berlandieri,Allopatric,299,>10,20,Very high
Rana berlandieri,Allopatric,300,>10,20,Very high
Rana berlandieri,Allopatric,301,>10,20,Very high
Rana berlandieri,Allopatric,302,6-10,8,High
Rana berlandieri,Allopatric,303,6-10,8,High
Rana berlandieri,Allopatric,304,6-10,8,High
Rana berlandieri,Allopatric,305,6-10,8,High
Rana berlandieri,Allopatric,306,6-10,8,High
Rana berlandieri,Allopatric,307,6-10,8,High
Rana berlandieri,Allopatric,308,6-10,8,High
Rana berlandieri,Allopatric,309,6-10,8,High
Rana berlandieri,Allopatric,310,6-10,8,High
Rana berlandieri,Allopatric,311,6-10,8,High
Rana berlandieri,Allopatric,312,6-10,8,High
Rana berlandieri,Allopatric,313,6-10,8,High
Rana berlandieri,Allopatric,314,6-10,8,High
Rana berlandieri,Allopatric,315,6-10,8,High
Rana berlandieri,Allopatric,316,3-5,4,Medium
Rana berlandieri,Allopatric,317,3-5,4,Medium
Rana berlandieri,Allopatric,318,3-5,4,Medium
Rana berlandieri,Allopatric,319,3-5,4,Medium
Rana berlandieri,Allopatric,320,3-5,4,Medium
Rana berlandieri,Allopatric,321,3-5,4,Medium
Rana berlandieri,Allopatric,322,3-5,4,Medium
Rana berlandieri,Allopatric,323,3-5,4,Medium
Rana berlandieri,Allopatric,324,3-5,4,Medium
Rana berlandieri,Allopatric,325,3-5,4,Medium
Rana berlandieri,Allopatric,326,3-5,4,Medium
Rana berlandieri,Allopatric,327,3-5,4,Medium
Rana berlandieri,Allopatric,328,3-5,4,Medium
Rana berlandieri,Allopatric,329,3-5,4,Medium
Rana berlandieri,Allopatric,330,3-5,4,Medium
Rana berlandieri,Allopatric,331,3-5,4,Medium
Rana berlandieri,Allopatric,332,3-5,4,Medium
Rana berlandieri,Allopatric,333,3-5,4,Medium
Rana berlandieri,Allopatric,334,3-5,4,Medium
Rana berlandieri,Allopatric,335,3-5,4,Medium
Rana berlandieri,Allopatric,336,3-5,4,Medium
Rana berlandieri,Allopatric,337,3-5,4,Medium
Rana berlandieri,Allopatric,338,3-5,4,Medium
Rana berlandieri,Allopatric,339,3-5,4,Medium
Rana berlandieri,Allopatric,340,3-5,4,Medium
Rana berlandieri,Allopatric,341,3-5,4,Medium
Rana berlandieri,Allopatric,342,3-5,4,Medium
Rana berlandieri,Allopatric,343,3-5,4,Medium
Rana berlandieri,Allopatric,344,3-5,4,Medium
Rana berlandieri,Allopatric,345,3-5,4,Medium
Rana berlandieri,Allopatric,346,3-5,4,Medium
Rana berlandieri,Allopatric,347,3-5,4,Medium
Rana berlandieri,Allopatric,348,3-5,4,Medium
Rana berlandieri,Allopatric,349,3-5,4,Medium
Rana berlandieri,Allopatric,350,3-5,4,Medium
Rana berlandieri,Allopatric,351,3-5,4,Medium
Rana berlandieri,Allopatric,352,3-5,4,Medium
Rana berlandieri,Allopatric,353,3-5,4,Medium
Rana berlandieri,Allopatric,354,3-5,4,Medium
Rana berlandieri,Allopatric,355,3-5,4,Medium
Rana berlandieri,Allopatric,356,3-5,4,Medium
Rana berlandieri,Allopatric,357,3-5,4,Medium
Rana berlandieri,Allopatric,358,3-5,4,Medium
Rana berlandieri,Allopatric,359,3-5,4,Medium
Rana berlandieri,Allopatric,360,3-5,4,Medium
Rana berlandieri,Allopatric,361,3-5,4,Medium
Rana berlandieri,Allopatric,362,3-5,4,Medium
Rana berlandieri,Allopatric,363,3-5,4,Medium
Rana berlandieri,Allopatric,364,3-5,4,Medium
Rana berlandieri,Allopatric,365,3-5,4,Medium
Rana blairi,Allopatric,1,0,0,No
Rana blairi,Allopatric,2,0,0,No
Rana blairi,Allopatric,3,0,0,No
Rana blairi,Allopatric,4,0,0,No
Rana blairi,Allopatric,5,0,0,No
Rana blairi,Allopatric,6,0,0,No
Rana blairi,Allopatric,7,0,0,No
Rana blairi,Allopatric,8,0,0,No
Rana blairi,Allopatric,9,0,0,No
Rana blairi,Allopatric,10,0,0,No
Rana blairi,Allopatric,11,0,0,No
Rana blairi,Allopatric,12,0,0,No
Rana blairi,Allopatric,13,0,0,No
Rana blairi,Allopatric,14,0,0,No
Rana blairi,Allopatric,15,0,0,No
Rana blairi,Allopatric,16,0,0,No
Rana blairi,Allopatric,17,0,0,No
Rana blairi,Allopatric,18,0,0,No
Rana blairi,Allopatric,19,0,0,No
Rana blairi,Allopatric,20,0,0,No
Rana blairi,Allopatric,21,0,0,No
Rana blairi,Allopatric,22,0,0,No
Rana blairi,Allopatric,23,0,0,No
Rana blairi,Allopatric,24,0,0,No
Rana blairi,Allopatric,25,0,0,No
Rana blairi,Allopatric,26,0,0,No
Rana blairi,Allopatric,27,0,0,No
Rana blairi,Allopatric,28,0,0,No
Rana blairi,Allopatric,29,0,0,No
Rana blairi,Allopatric,30,0,0,No
Rana blairi,Allopatric,31,0,0,No
Rana blairi,Allopatric,32,0,0,No
Rana blairi,Allopatric,33,0,0,No
Rana blairi,Allopatric,34,0,0,No
Rana blairi,Allopatric,35,0,0,No
Rana blairi,Allopatric,36,0,0,No
Rana blairi,Allopatric,37,0,0,No
Rana blairi,Allopatric,38,0,0,No
Rana blairi,Allopatric,39,0,0,No
Rana blairi,Allopatric,40,0,0,No
Rana blairi,Allopatric,41,0,0,No
Rana blairi,Allopatric,42,0,0,No
Rana blairi,Allopatric,43,0,0,No
Rana blairi,Allopatric,44,0,0,No
Rana blairi,Allopatric,45,0,0,No
Rana blairi,Allopatric,46,0,0,No
Rana blairi,Allopatric,47,0,0,No
Rana blairi,Allopatric,48,0,0,No
Rana blairi,Allopatric,49,0,0,No
Rana blairi,Allopatric,50,<2,1.5,Low
Rana blairi,Allopatric,51,<2,1.5,Low
Rana blairi,Allopatric,52,<2,1.5,Low
Rana blairi,Allopatric,53,<2,1.5,Low
Rana blairi,Allopatric,54,<2,1.5,Low
Rana blairi,Allopatric,55,<2,1.5,Low
Rana blairi,Allopatric,56,<2,1.5,Low
Rana blairi,Allopatric,57,<2,1.5,Low
Rana blairi,Allopatric,58,<2,1.5,Low
Rana blairi,Allopatric,59,<2,1.5,Low
Rana blairi,Allopatric,60,<2,1.5,Low
Rana blairi,Allopatric,61,<2,1.5,Low
Rana blairi,Allopatric,62,<2,1.5,Low
Rana blairi,Allopatric,63,<2,1.5,Low
Rana blairi,Allopatric,64,<2,1.5,Low
Rana blairi,Allopatric,65,<2,1.5,Low
Rana blairi,Allopatric,66,3-5,4,Medium
Rana blairi,Allopatric,67,3-5,4,Medium
Rana blairi,Allopatric,68,3-5,4,Medium
Rana blairi,Allopatric,69,3-5,4,Medium
Rana blairi,Allopatric,70,3-5,4,Medium
Rana blairi,Allopatric,71,3-5,4,Medium
Rana blairi,Allopatric,72,3-5,4,Medium
Rana blairi,Allopatric,73,3-5,4,Medium
Rana blairi,Allopatric,74,3-5,4,Medium
Rana blairi,Allopatric,75,3-5,4,Medium
Rana blairi,Allopatric,76,3-5,4,Medium
Rana blairi,Allopatric,77,3-5,4,Medium
Rana blairi,Allopatric,78,3-5,4,Medium
Rana blairi,Allopatric,79,3-5,4,Medium
Rana blairi,Allopatric,80,3-5,4,Medium
Rana blairi,Allopatric,81,3-5,4,Medium
Rana blairi,Allopatric,82,3-5,4,Medium
Rana blairi,Allopatric,83,3-5,4,Medium
Rana blairi,Allopatric,84,3-5,4,Medium
Rana blairi,Allopatric,85,6-10,8,High
Rana blairi,Allopatric,86,6-10,8,High
Rana blairi,Allopatric,87,6-10,8,High
Rana blairi,Allopatric,88,6-10,8,High
Rana blairi,Allopatric,89,6-10,8,High
Rana blairi,Allopatric,90,6-10,8,High
Rana blairi,Allopatric,91,6-10,8,High
Rana blairi,Allopatric,92,6-10,8,High
Rana blairi,Allopatric,93,6-10,8,High
Rana blairi,Allopatric,94,6-10,8,High
Rana blairi,Allopatric,95,6-10,8,High
Rana blairi,Allopatric,96,6-10,8,High
Rana blairi,Allopatric,97,6-10,8,High
Rana blairi,Allopatric,98,6-10,8,High
Rana blairi,Allopatric,99,6-10,8,High
Rana blairi,Allopatric,100,6-10,8,High
Rana blairi,Allopatric,101,6-10,8,High
Rana blairi,Allopatric,102,6-10,8,High
Rana blairi,Allopatric,103,6-10,8,High
Rana blairi,Allopatric,104,6-10,8,High
Rana blairi,Allopatric,105,6-10,8,High
Rana blairi,Allopatric,106,6-10,8,High
Rana blairi,Allopatric,107,6-10,8,High
Rana blairi,Allopatric,108,6-10,8,High
Rana blairi,Allopatric,109,>10,20,Very high
Rana blairi,Allopatric,110,>10,20,Very high
Rana blairi,Allopatric,111,>10,20,Very high
Rana blairi,Allopatric,112,>10,20,Very high
Rana blairi,Allopatric,113,>10,20,Very high
Rana blairi,Allopatric,114,>10,20,Very high
Rana blairi,Allopatric,115,>10,20,Very high
Rana blairi,Allopatric,116,>10,20,Very high
Rana blairi,Allopatric,117,>10,20,Very high
Rana blairi,Allopatric,118,>10,20,Very high
Rana blairi,Allopatric,119,>10,20,Very high
Rana blairi,Allopatric,120,>10,20,Very high
Rana blairi,Allopatric,121,>10,20,Very high
Rana blairi,Allopatric,122,>10,20,Very high
Rana blairi,Allopatric,123,>10,20,Very high
Rana blairi,Allopatric,124,>10,20,Very high
Rana blairi,Allopatric,125,>10,20,Very high
Rana blairi,Allopatric,126,>10,20,Very high
Rana blairi,Allopatric,127,>10,20,Very high
Rana blairi,Allopatric,128,>10,20,Very high
Rana blairi,Allopatric,129,>10,20,Very high
Rana blairi,Allopatric,130,>10,20,Very high
Rana blairi,Allopatric,131,>10,20,Very high
Rana blairi,Allopatric,132,>10,20,Very high
Rana blairi,Allopatric,133,>10,20,Very high
Rana blairi,Allopatric,134,>10,20,Very high
Rana blairi,Allopatric,135,6-10,8,High
Rana blairi,Allopatric,136,6-10,8,High
Rana blairi,Allopatric,137,6-10,8,High
Rana blairi,Allopatric,138,6-10,8,High
Rana blairi,Allopatric,139,6-10,8,High
Rana blairi,Allopatric,140,6-10,8,High
Rana blairi,Allopatric,141,6-10,8,High
Rana blairi,Allopatric,142,6-10,8,High
Rana blairi,Allopatric,143,6-10,8,High
Rana blairi,Allopatric,144,6-10,8,High
Rana blairi,Allopatric,145,6-10,8,High
Rana blairi,Allopatric,146,6-10,8,High
Rana blairi,Allopatric,147,6-10,8,High
Rana blairi,Allopatric,148,6-10,8,High
Rana blairi,Allopatric,149,6-10,8,High
Rana blairi,Allopatric,150,6-10,8,High
Rana blairi,Allopatric,151,6-10,8,High
Rana blairi,Allopatric,152,3-5,4,Medium
Rana blairi,Allopatric,153,3-5,4,Medium
Rana blairi,Allopatric,154,3-5,4,Medium
Rana blairi,Allopatric,155,3-5,4,Medium
Rana blairi,Allopatric,156,3-5,4,Medium
Rana blairi,Allopatric,157,3-5,4,Medium
Rana blairi,Allopatric,158,3-5,4,Medium
Rana blairi,Allopatric,159,3-5,4,Medium
Rana blairi,Allopatric,160,3-5,4,Medium
Rana blairi,Allopatric,161,3-5,4,Medium
Rana blairi,Allopatric,162,3-5,4,Medium
Rana blairi,Allopatric,163,3-5,4,Medium
Rana blairi,Allopatric,164,3-5,4,Medium
Rana blairi,Allopatric,165,3-5,4,Medium
Rana blairi,Allopatric,166,3-5,4,Medium
Rana blairi,Allopatric,167,3-5,4,Medium
Rana blairi,Allopatric,168,3-5,4,Medium
Rana blairi,Allopatric,169,3-5,4,Medium
Rana blairi,Allopatric,170,3-5,4,Medium
Rana blairi,Allopatric,171,3-5,4,Medium
Rana blairi,Allopatric,172,3-5,4,Medium
Rana blairi,Allopatric,173,3-5,4,Medium
Rana blairi,Allopatric,174,3-5,4,Medium
Rana blairi,Allopatric,175,3-5,4,Medium
Rana blairi,Allopatric,176,3-5,4,Medium
Rana blairi,Allopatric,177,3-5,4,Medium
Rana blairi,Allopatric,178,3-5,4,Medium
Rana blairi,Allopatric,179,3-5,4,Medium
Rana blairi,Allopatric,180,3-5,4,Medium
Rana blairi,Allopatric,181,<2,1.5,Low
Rana blairi,Allopatric,182,<2,1.5,Low
Rana blairi,Allopatric,183,<2,1.5,Low
Rana blairi,Allopatric,184,<2,1.5,Low
